epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2497,0.89197,1.042,1.32417,0.35393,0.58892,0.39441,0.2542,1.05979,1.51202,1.46788,2.858e-05,2.858e-05,2.858e-05
2,19.9521,0.91614,0.8952,1.36413,0.4007,0.66307,0.39973,0.25768,1.0476,1.35637,1.35862,7.07426e-05,7.07426e-05,7.07426e-05
3,24.6629,0.87148,1.00495,1.21305,0.15832,0.39031,0.14749,0.1029,1.08937,1.8424,1.2946,0.000112056,0.000112056,0.000112056
4,28.8521,0.97297,0.96541,1.16023,0.56532,0.4368,0.25309,0.16571,1.14895,1.52755,1.34401,0.000152521,0.000152521,0.000152521
5,34.3565,0.86172,0.8349,1.09958,0.67584,0.47301,0.34609,0.22571,1.09164,1.41214,1.30309,0.000192138,0.000192138,0.000192138
6,38.5799,0.88086,0.79663,1.11367,0.65604,0.50532,0.37985,0.26347,1.02802,1.41575,1.25201,0.000230905,0.000230905,0.000230905
7,45.8833,0.77439,0.95265,1.05654,0.6198,0.50427,0.39974,0.28918,1.01761,1.41355,1.2433,0.000268823,0.000268823,0.000268823
8,53.5021,0.8001,0.78443,1.08286,0.5954,0.51101,0.38841,0.29329,1.05223,1.38553,1.27812,0.000305893,0.000305893,0.000305893
9,58.4426,0.8315,1.01507,1.14139,0.59419,0.38949,0.28333,0.19871,1.08071,1.52555,1.26484,0.000342114,0.000342114,0.000342114
10,63.0452,0.8295,0.80009,1.07689,0.55401,0.29719,0.21587,0.15508,1.18686,1.80446,1.36694,0.000377486,0.000377486,0.000377486
11,69.7973,0.77662,1.05436,1.07114,0.06361,0.26211,0.07899,0.06263,1.54373,inf,1.64713,0.000412009,0.000412009,0.000412009
12,76.4186,0.78225,0.79599,1.02478,0.01676,0.19298,0.01306,0.00949,1.79115,inf,1.97423,0.000445684,0.000445684,0.000445684
13,81.9862,0.89913,0.96478,1.16857,0.04866,0.25551,0.03397,0.02996,1.98414,inf,9.00853,0.000478509,0.000478509,0.000478509
14,87.0467,0.89845,1.37355,1.09606,0.18665,0.35818,0.18025,0.14826,1.27221,inf,2.3044,0.000510486,0.000510486,0.000510486
15,97.016,0.84936,0.74423,1.07444,0.15529,0.35912,0.19988,0.15417,1.23632,3.08815,1.46475,0.000541614,0.000541614,0.000541614
16,101.974,0.76699,0.74576,1.06178,0.03617,0.25536,0.03366,0.0207,1.23339,7.37816,1.36453,0.000571893,0.000571893,0.000571893
17,106.853,0.8319,0.72697,1.07608,0.05696,0.26608,0.18382,0.03112,1.2012,inf,1.4058,0.000601323,0.000601323,0.000601323
18,111.032,0.88021,0.71765,1.10529,0.02692,0.26608,0.17623,0.02083,1.30179,inf,1.57256,0.000629905,0.000629905,0.000629905
19,116.24,0.75782,0.74708,0.98679,0.02289,0.26608,0.05173,0.01754,1.60517,inf,2.48911,0.000657637,0.000657637,0.000657637
20,120.608,0.72675,0.98825,1.06218,0.0305,0.25244,0.0318,0.01399,1.76952,inf,2.6857,0.000684521,0.000684521,0.000684521
21,124.744,0.75231,0.70872,1.03122,0.01273,0.1384,0.00905,0.00532,2.30808,inf,3.78459,0.000710556,0.000710556,0.000710556
22,129.942,0.8294,0.69017,1.03868,0.01273,0.1384,0.00905,0.00532,2.30808,inf,3.78459,0.000735742,0.000735742,0.000735742
23,135.114,0.8055,0.74449,1.02336,0.00511,0.05458,0.00301,0.00108,2.63752,inf,3.61639,0.000760079,0.000760079,0.000760079
24,141.514,0.75134,0.70445,1.03224,0.01938,0.30312,0.01535,0.0064,1.95325,inf,2.42799,0.000783568,0.000783568,0.000783568
25,145.882,0.86638,0.78035,1.10845,0.02896,0.44047,0.02438,0.01492,1.72858,18.9286,1.99771,0.000806208,0.000806208,0.000806208
26,150.678,0.83397,0.85048,1.0761,0.02896,0.44047,0.02438,0.01492,1.72858,18.9286,1.99771,0.000827998,0.000827998,0.000827998
27,155.091,0.82466,0.78823,1.01344,0.01659,0.31849,0.0129,0.00761,1.99004,22.0447,2.24937,0.00084894,0.00084894,0.00084894
28,160.147,0.8455,0.66504,1.03925,0.00989,0.23407,0.00784,0.00282,2.7974,inf,3.44153,0.000869033,0.000869033,0.000869033
29,166.152,0.71607,0.60131,0.9709,0.00047,0.0039,0.00021,4e-05,3.94395,inf,7.78689,0.000888278,0.000888278,0.000888278
30,171.505,0.62548,0.65106,0.97261,0.00047,0.0039,0.00021,4e-05,3.94395,inf,7.78689,0.000906673,0.000906673,0.000906673
31,175.506,0.68402,0.69732,0.99716,0.00047,0.0039,0.00021,4e-05,3.75163,inf,5.00765,0.00092422,0.00092422,0.00092422
32,179.825,0.83688,0.63615,1.03127,0.00047,0.0039,0.00021,4e-05,3.75163,inf,5.00765,0.000940918,0.000940918,0.000940918
33,184.69,0.75209,0.64328,1.01303,0.01108,0.25244,0.0107,0.00425,2.23307,inf,2.39134,0.000956767,0.000956767,0.000956767
34,188.75,0.71933,0.6459,1.01178,0.1734,0.30844,0.17873,0.14424,1.50406,5.91436,1.74822,0.000962146,0.000962146,0.000962146
35,192.84,0.73325,0.72263,1.02332,0.1734,0.30844,0.17873,0.14424,1.50406,5.91436,1.74822,0.000947999,0.000947999,0.000947999
36,198.964,0.8207,0.64881,1.06342,0.27592,0.44113,0.3159,0.2392,1.2505,1.80211,1.51076,0.000933851,0.000933851,0.000933851
37,202.826,0.94986,0.80244,1.24809,0.27592,0.44113,0.3159,0.2392,1.2505,1.80211,1.51076,0.000919704,0.000919704,0.000919704
38,209.604,0.72758,0.71867,1.00662,0.37879,0.5614,0.33991,0.24413,1.1621,1.76018,1.35271,0.000905557,0.000905557,0.000905557
39,219.418,0.71406,0.63546,1.00862,0.31171,0.39518,0.25346,0.18222,1.14207,1.57726,1.34064,0.00089141,0.00089141,0.00089141
40,223.771,0.70791,0.58278,0.98795,0.31171,0.39518,0.25346,0.18222,1.14207,1.57726,1.34064,0.000877263,0.000877263,0.000877263
41,231.645,0.76047,0.77702,1.05896,0.26559,0.47608,0.27823,0.18765,1.07095,1.69444,1.32305,0.000863116,0.000863116,0.000863116
42,235.994,0.67071,0.6679,0.98188,0.26559,0.47608,0.27823,0.18765,1.07095,1.69444,1.32305,0.000848969,0.000848969,0.000848969
43,240.805,0.7263,0.79436,0.97858,0.25749,0.40815,0.32627,0.23586,1.06207,1.72512,1.32329,0.000834822,0.000834822,0.000834822
44,245.62,0.66107,0.66927,0.98121,0.18016,0.74756,0.28525,0.21167,1.03288,1.79329,1.29265,0.000820675,0.000820675,0.000820675
45,249.707,0.7176,0.7661,1.03272,0.18016,0.74756,0.28525,0.21167,1.03288,1.79329,1.29265,0.000806528,0.000806528,0.000806528
46,257.137,0.75436,0.67821,1.03594,0.3251,0.60879,0.38145,0.26962,1.02116,1.41928,1.32831,0.00079238,0.00079238,0.00079238
47,261.846,0.64694,0.61107,0.99808,0.3251,0.60879,0.38145,0.26962,1.02116,1.41928,1.32831,0.000778233,0.000778233,0.000778233
48,265.925,0.70015,0.60464,1.03438,0.34268,0.71742,0.46059,0.32404,1.04059,1.34106,1.34834,0.000764086,0.000764086,0.000764086
49,272.099,0.65104,0.67561,0.96133,0.73723,0.46049,0.45779,0.32711,1.0537,1.35113,1.35431,0.000749939,0.000749939,0.000749939
50,277.375,0.60134,0.68364,0.94741,0.73723,0.46049,0.45779,0.32711,1.0537,1.35113,1.35431,0.000735792,0.000735792,0.000735792
51,282.175,0.6686,0.56385,0.97765,0.68894,0.47999,0.4383,0.32248,1.05232,1.46739,1.33632,0.000721645,0.000721645,0.000721645
52,286.226,0.61848,0.57941,0.94919,0.68894,0.47999,0.4383,0.32248,1.05232,1.46739,1.33632,0.000707498,0.000707498,0.000707498
53,291.581,0.6482,0.54108,0.9437,0.63222,0.43109,0.36489,0.27672,1.04692,1.62666,1.38208,0.000693351,0.000693351,0.000693351
54,295.689,0.61853,0.64534,0.99322,0.61564,0.39946,0.34953,0.25844,1.06979,1.77533,1.41273,0.000679204,0.000679204,0.000679204
55,299.404,0.66411,0.57112,1.00692,0.61564,0.39946,0.34953,0.25844,1.06979,1.77533,1.41273,0.000665057,0.000665057,0.000665057
56,306.367,0.67261,0.53265,0.9735,0.59538,0.42299,0.34091,0.2576,1.05116,1.79502,1.3684,0.000650909,0.000650909,0.000650909
57,311.099,0.70179,0.58612,1.04907,0.59538,0.42299,0.34091,0.2576,1.05116,1.79502,1.3684,0.000636762,0.000636762,0.000636762
58,314.859,0.63046,0.60939,0.97015,0.5992,0.43375,0.35153,0.26531,1.03161,1.80795,1.36026,0.000622615,0.000622615,0.000622615
59,322.661,0.67953,0.5833,0.97069,0.63071,0.48025,0.36851,0.28516,1.03898,1.70631,1.36535,0.000608468,0.000608468,0.000608468
60,327.231,0.62519,0.69219,0.97532,0.63071,0.48025,0.36851,0.28516,1.03898,1.70631,1.36535,0.000594321,0.000594321,0.000594321
61,330.968,0.65231,0.55579,0.98649,0.6904,0.44883,0.38176,0.29767,1.02637,1.59218,1.35516,0.000580174,0.000580174,0.000580174
62,336.3,0.63858,0.51972,0.96807,0.6904,0.44883,0.38176,0.29767,1.02637,1.59218,1.35516,0.000566027,0.000566027,0.000566027
